quality,fix.acid,vol.acid,citric.acid,lresid.sugar,lchlorides,lfree.so2,ltotal.so2,density,pH,sulphates,alcohol,color
5.5,8.4,0.18,0.42,1.6292405397,-3.3242363405,1.9459101491,4.3438054219,0.9939,3.16,0.52,11.7,white
7.4,5.6,0.28,0.27,1.3609765531,-3.1465551633,3.9512437186,5.062595033,0.99202,3.35,0.44,10.7,white
4.2,9.8,0.93,0.45,2.1517622033,-2.9565115604,3.5263605246,5.2311086169,0.9994,3.12,0.59,10.2,white
6.1,5.7,0.44,0.13,1.9459101491,-3.6888794541,3.3322045102,5.1532915945,0.9913,3.33,0.48,12.5,white
5.6,9,0.27,0.35,1.5892352051,-3.5755507688,3.295836866,4.5538768916,0.9932,3.04,0.4,11.3,white
5.5,6,0.22,0.23,1.6094379124,-3.1010927892,2.302585093,4.8040210447,0.99261,2.94,0.63,10,white
5.1,7.4,0.41,0.34,1.5475625087,-3.1700856607,2.9444389792,4.8441870865,0.9953,3.25,0.42,10.4,white
5.8,6.4,0.16,0.37,0.4054651081,-3.2968373663,3.295836866,4.6913478822,0.99345,3.38,0.5,9.8,white
5.5,6.3,0.3,0.48,0.5877866649,-2.6736487744,2.8903717579,4.1108738642,0.9959,3.44,0.78,10.3,red
6,6.6,0.44,0.09,0.7884573604,-2.7646205526,2.1972245773,2.8903717579,0.99444,3.42,0.69,11.3,red
6.4,10.8,0.4,0.41,0.7884573604,-2.4769384801,1.9459101491,2.8332133441,0.9984,3.08,0.67,9.3,red
7.5,6.2,0.37,0.24,1.8082887712,-3.4420193762,2.9444389792,4.4543472963,0.98934,3.04,0.26,13.4,white
5.8,6.6,0.14,0.44,0.4700036292,-3.1700856607,3.8501476017,4.9416424226,0.993,3.32,0.51,10.2,white
6.2,7.2,0.39,0.44,0.955511445,-2.718100537,3.0910424534,3.8712010109,0.99494,3.3,0.84,11.5,red
6.7,7.2,0.16,0.29,0,-3.4737680745,3.6888794541,4.8121843554,0.98958,3.12,0.4,12.1,white
4.7,7.8,0.82,0.29,1.4586150227,-2.4889146712,3.0445224377,4.1588830834,0.99642,3.16,0.53,9.4,red
6.2,6.3,0.2,0.19,2.5095992624,-3.0365542681,3.9889840466,4.9767337424,0.99668,3.16,0.42,9.3,white
6.8,5.4,0.42,0.27,0.6931471806,-2.3859667019,3.1354942159,4.0073331852,0.99471,3.78,0.64,12.3,red
6.5,7.5,0.34,0.35,1.7917594692,-3.3813947544,2.4849066498,4.836281907,0.9924,3.16,0.39,12,white
6.2,5.4,0.185,0.19,1.960094784,-3.0365542681,3.5835189385,4.7004803658,0.99438,3.26,0.41,9.5,white
6.2,6.6,0.28,0.28,2.1400661635,-2.9565115604,4.0073331852,5.3518581335,0.9962,3.09,0.55,8.9,white
7.5,10.7,0.52,0.38,0.955511445,-2.718100537,3.36729583,4.0253516907,0.99577,3.15,0.79,12.1,red
6.7,7.4,0.22,0.27,0.4700036292,-2.8647040111,3.8066624898,4.5849674787,0.99299,3.29,0.44,9.9,white
5.2,7.1,0.12,0.32,2.2617630985,-2.9187712324,4.1588830834,5.0875963352,0.9962,3.4,0.41,9.4,white
5.5,7.1,0.19,0.28,1.2809338455,-3.4112477175,2.7725887222,4.3567088267,0.993,2.91,0.78,11.4,white
6.2,7.4,0.37,0.43,0.955511445,-2.5010360317,2.8903717579,4.4067192473,0.99708,3.33,0.68,9.7,red
5.5,6.6,0.25,0.35,1.064710737,-3.3813947544,3.6375861597,4.7957905456,0.99008,3.19,0.4,12.8,white
5,7.2,0.29,0.18,2.1041341543,-3.1700856607,3.7135720667,5.1929568509,0.99644,3.16,0.49,9.1,white
7.5,7.3,0.28,0.42,2.6672282066,-3.2188758249,3.8918202981,5.1532915945,0.9994,3.28,0.82,9,white
7,9.4,0.395,0.46,1.5260563035,-2.3644604967,1.0986122887,2.302585093,0.99639,3.27,0.64,12.2,red
5.5,7.1,0.68,0,0.8329091229,-2.4418471603,2.8332133441,3.258096538,0.99783,3.45,0.53,9.5,red
6,7,0.38,0.49,0.9162907319,-2.3330443005,3.4965075615,4.4426512565,0.9962,3.39,0.77,11.4,red
6.2,7.8,0.55,0,0.5306282511,-2.6592600369,1.9459101491,2.8332133441,0.99659,3.26,0.64,9.4,red
6.6,6.8,0.36,0.32,0.5877866649,-2.7030626596,1.3862943611,2.0794415417,0.9928,3.36,0.55,12.8,red
5.7,5.6,0.185,0.19,1.960094784,-3.0365542681,3.5835189385,4.7004803658,0.99438,3.26,0.41,9.5,white
6,7.4,0.25,0.37,0.955511445,-2.9957322736,3.1780538303,4.8828019226,0.99138,3.04,0.53,11.2,white
6.3,7.8,0.32,0.33,2.3418058061,-3.4737680745,3.8501476017,5.2678581591,0.99692,3.07,0.58,9.6,white
5.6,6.8,0.67,0.15,0.5877866649,-2.1370706545,2.5649493575,2.9957322736,0.9954,3.42,0.67,11.3,red
8,5.3,0.3,0.16,1.4350845253,-3.540459449,3.6109179126,4.605170186,0.9905,3.3,0.36,11.8,white
4.9,7.5,0.27,0.36,1.9459101491,-3.3242363405,3.8066624898,5.0998664278,0.9939,3.03,0.33,11,white
5.6,6.8,0.28,0.29,2.4765384001,-2.9565115604,3.9318256327,5.0039463059,0.99544,3.02,0.58,10.4,white
5.4,6,0.14,0.37,0.1823215568,-3.4420193762,4.1431347264,4.9972122738,0.99185,3.32,0.44,11.2,white
5,8.8,0.61,0.14,0.8754687374,-2.7030626596,2.302585093,3.7376696183,0.9969,3.19,0.59,9.5,red
6.4,7,0.21,0.28,2.1633230257,-3.1010927892,3.6109179126,5.4026773819,0.9954,3.25,0.54,10.4,white
5.5,6.6,0.27,0.49,2.0541237337,-3.0159349809,4.127134385,5.3798973535,0.9959,3.17,0.45,9.4,white
7.1,6.9,0.48,0.36,1.2527629685,-3.5065578973,3.4339872045,4.9052747784,0.9904,3.14,0.38,12.2,white
7.3,7.4,0.33,0.26,0.955511445,-3.2188758249,3.36729583,4.7449321284,0.9913,3.07,0.52,11.8,white
6.5,8.5,0.25,0.27,1.5475625087,-3.4737680745,3.4339872045,4.521788577,0.9922,3.01,0.33,12,white
5.7,7.7,0.29,0.29,1.5686159179,-2.8134107168,3.295836866,5.0498560072,0.99572,3.49,0.59,10.3,white
5.5,8.6,0.63,0.17,1.064710737,-2.3126354288,3.0445224377,4.7791234931,0.998,3.09,0.52,9.3,red
6.3,8.2,0.34,0.38,0.9162907319,-2.5257286443,2.4849066498,4.0430512678,0.9978,3.3,0.47,9,red
6.8,6.3,0.28,0.24,2.1341664414,-3.4737680745,3.4657359028,5.1474944768,0.9958,3.39,0.57,9.7,white
6.4,6.5,0.21,0.42,0.0953101798,-2.8302178351,3.4965075615,4.6151205168,0.9927,3.12,0.38,9.7,white
5.8,11.6,0.23,0.57,0.5877866649,-2.6036901858,1.0986122887,2.0794415417,0.9981,3.14,0.7,9.9,red
7.4,7.5,0.17,0.32,0.5306282511,-3.2188758249,3.9318256327,4.9972122738,0.9916,3.21,0.44,11.5,white
4.3,6.1,1.1,0.16,1.4816045409,-3.4112477175,2.0794415417,4.6913478822,0.99058,3.35,0.47,12.4,white
5.1,5.7,0.255,0.65,0.1823215568,-2.5383074265,2.8332133441,4.9199809258,0.99307,3.2,0.42,9.4,white
6.4,6.9,0.33,0.21,0,-2.9374633654,3.6635616461,4.9972122738,0.9927,3.12,0.45,9.4,white
5,7.6,0.27,0.29,0.9162907319,-2.8302178351,3.6109179126,4.7449321284,0.99328,3.09,0.37,9.8,white
7.2,12.8,0.3,0.74,0.955511445,-2.3538783874,2.1972245773,3.3322045102,0.9994,3.2,0.77,10.8,red
5.5,6,0.27,0.32,1.2809338455,-3.3524072175,3.5835189385,4.8903491282,0.99215,3.23,0.46,10.8,white
4.2,6.9,0.25,0.24,1.2809338455,-2.8647040111,2.5649493575,4.4426512565,0.9942,2.99,0.48,9.5,white
5.8,5.7,0.16,0.26,1.8405496334,-3.1465551633,3.3322045102,4.7273878187,0.9936,3.06,0.58,9.9,white
6.1,7.5,0.51,0.02,0.5306282511,-2.4769384801,2.5649493575,3.4339872045,0.99538,3.36,0.54,10.5,red
5.7,6.1,0.14,0.25,0.2623642645,-3.0576076773,3.6109179126,5.1532915945,0.9925,3.35,0.46,10,white
6.3,6.3,0.55,0.45,2.5649493575,-3.0576076773,3.4965075615,5.2040066871,0.9974,3.2,0.46,9.2,white
5,7.3,0.67,0.26,0.5877866649,-0.9137938517,2.7725887222,3.9318256327,0.9969,3.16,1.14,9.4,red
5.1,7.7,0.965,0.1,0.7419373447,-2.1892564077,2.3978952728,3.0910424534,0.9963,3.26,0.5,9.5,red
5.1,7.1,0.28,0.26,0.6418538862,-3.0159349809,2.4849066498,4.4543472963,0.9934,3.15,0.38,9.4,white
7.4,6.6,0.34,0.24,1.1939224685,-3.3813947544,3.36729583,4.5951198501,0.99031,3.1,0.4,12.3,white
6,7.1,0.27,0.6,0.7419373447,-2.6036901858,2.8332133441,3.2188758249,0.99814,3.38,0.72,10.6,red
4.4,6.4,0.35,0.35,1.7227665977,-3.3813947544,2.1972245773,4.9972122738,0.99441,3.17,0.5,9.8,white
5.6,6.1,0.27,0.32,0.0953101798,-3.3813947544,3.1780538303,4.7004803658,0.9898,3.36,0.4,12.5,white
5,7.6,0.18,0.36,0.8754687374,-3.0159349809,3.6375861597,4.8121843554,0.996,3.6,0.46,10.3,white
6.5,6.3,0.41,0.3,1.1631508098,-3.5065578973,3.8918202981,5.0998664278,0.9927,3.53,0.79,11.7,white
5.7,7.1,0.39,0.3,2.2925347571,-3.2968373663,3.36729583,4.8202815656,0.99414,3.07,0.42,10.9,white
5.1,7.2,0.41,0.3,0.7419373447,-2.4889146712,3.5553480615,4.276666119,0.997,3.44,0.52,9.4,red
6.4,5.7,0.15,0.28,1.3083328197,-3.1010927892,4.0430512678,5.0172798368,0.9913,3.22,0.27,11.2,white
7.5,6.5,0.08,0.33,0.6418538862,-3.5755507688,3.1354942159,4.5325994932,0.991,3.34,0.7,12,white
6.5,6.9,0.22,0.39,1.7917594692,-3.3524072175,3.7841896339,4.9487598904,0.99123,3.11,0.33,12.5,white
4.9,7.9,0.72,0.01,0.6418538862,-2.5770219387,1.9459101491,3.4657359028,0.99668,3.39,0.54,9.6,red
5.6,6.4,0.3,0.3,0.8109302162,-3.2701691193,2.0794415417,5.3471075307,0.9937,3.2,0.62,9.9,white
4.8,7.4,0.64,0.17,1.6863989536,-1.7837912996,3.9512437186,4.5849674787,0.99736,3.28,0.5,9.5,red
5.5,8.3,0.39,0.7,2.3608540011,-3.1010927892,3.4965075615,5.1298987149,0.9976,3.09,0.57,9.4,white
7.2,11.7,0.28,0.47,0.5306282511,-2.9187712324,2.8332133441,3.4657359028,0.99686,3.15,0.67,10.6,red
6,7.4,0.16,0.49,0.1823215568,-2.9004220937,2.8903717579,5.0106352941,0.9917,3.23,0.47,11.2,white
8,8.1,0.27,0.35,0.5306282511,-3.5065578973,3.6375861597,4.6347289882,0.99255,3.22,0.63,10.4,white
7.1,7.3,0.65,0,0.1823215568,-2.7333680091,2.7080502011,3.0445224377,0.9946,3.39,0.47,10,red
4.7,9.3,0.41,0.39,0.7884573604,-2.7488721956,2.4849066498,3.4339872045,0.9984,3.26,0.65,10.2,red
6.3,7.7,0.34,0.28,2.3978952728,-3.2188758249,3.4339872045,4.7621739348,0.99815,3.27,0.29,9.2,white
5.5,5.7,0.21,0.25,0.0953101798,-3.3524072175,3.258096538,4.3944491547,0.9902,3.31,0.52,11.4,white
5.2,6.6,0.37,0.24,0.6931471806,-2.7488721956,3.1354942159,4.7874917428,0.9946,3.32,0.54,9.4,white
6.8,9.6,0.38,0.31,0.9162907319,-2.3434070875,2.7725887222,3.8918202981,0.9982,3.19,0.7,10,red
4.8,7.6,0.23,0.34,0.4700036292,-3.1465551633,3.1780538303,4.8598124044,0.99305,3.12,0.7,10.4,white
5.8,6,0.24,0.34,0,-3.3242363405,3.9512437186,5.2149357576,0.99097,3.44,0.44,11.45,white
6.3,10.2,0.4,0.4,0.9162907319,-2.6882475738,3.7135720667,3.9889840466,0.99754,3.38,0.86,10.5,red
6.3,8.4,0.22,0.3,2.1860512767,-3.7297014486,2.8332133441,4.7706846245,0.99456,2.99,0.34,10.5,white
5.2,9.9,0.57,0.25,0.6931471806,-2.2633643798,2.4849066498,4.4886363697,0.9963,3.04,0.9,10.1,red
4.6,7.1,0.685,0.35,0.6931471806,-2.4304184645,2.1972245773,4.521788577,0.9963,3.28,0.62,9.4,red
6.4,9,0.3,0.49,1.974081026,-3.2441936329,3.4657359028,4.4308167988,0.9938,2.94,0.32,11.5,white
5.5,6.3,0.16,0.4,0.4700036292,-3.4112477175,4.0775374439,4.9972122738,0.9914,3.44,0.53,11.4,white
6,7.4,0.19,0.31,2.6741486494,-3.1010927892,3.6635616461,5.2626901889,0.9986,3.1,0.5,9.2,white
6,10.4,0.43,0.5,0.8329091229,-2.6882475738,2.5649493575,2.9444389792,0.996,3.1,0.87,11.4,red
6.1,7.6,0.43,0.4,0.993251773,-2.5010360317,1.7917594692,2.3978952728,0.99538,3.44,0.54,12.2,red
6.3,8.1,0.27,0.33,0.2623642645,-3.1010927892,3.258096538,4.605170186,0.99066,2.98,0.44,12.4,white
4.8,6.8,0.26,0.4,2.0149030205,-3.0791138825,3.8066624898,5.1873858058,0.99583,3.2,0.49,9.3,white
6.8,7.2,0.37,0.15,0.6931471806,-3.540459449,3.295836866,4.4659081187,0.9903,3.3,0.59,12.6,white
5.8,5.4,0.74,0.09,0.5306282511,-2.4191189093,2.7725887222,3.258096538,0.99402,3.67,0.56,11.6,red
4.9,6.2,0.31,0.23,1.1939224685,-2.9565115604,3.5263605246,4.7273878187,0.99429,3.16,0.48,8.4,white
6.5,6.5,0.34,0.36,2.3978952728,-2.9565115604,3.9702919136,5.5093883366,0.9984,3.44,0.55,9.3,white
5.4,8.9,0.13,0.49,0,-3.5755507688,1.7917594692,3.1780538303,0.9926,2.91,0.32,9.9,white
5.5,7.8,0.55,0.35,0.7884573604,-2.6036901858,3.0445224377,4.189654742,0.9974,3.25,0.56,9.2,red
6,6.9,0.34,0.49,1.9878743482,-3.1010927892,4.1108738642,5.3278761688,0.9957,3.09,0.4,9,white
4.9,8,0.43,0.4,2.5176964726,-1.7837912996,3.36729583,5.2470240722,0.9991,3.07,0.64,9.2,white
6.9,7.4,0.19,0.3,2.5494451709,-2.9374633654,3.8815637979,5.4337220036,0.9986,3.14,0.49,9.1,white
4.9,8.6,0.49,0.51,0.6931471806,-0.8627499649,2.7725887222,4.127134385,0.9979,3.03,1.17,9,red
4.9,6.6,0.4,0.46,1.8245492921,-2.8824035882,3.7376696183,5.4847969335,0.9968,3.5,0.6,9.9,white
4.6,7.1,0.43,0.17,0.5877866649,-2.5010360317,3.295836866,3.9318256327,0.99634,3.49,0.64,10.4,red
5.7,6.5,0.29,0.42,2.3608540011,-3.1700856607,4.189654742,5.3082676974,0.99674,3.24,0.53,9.5,white
6.8,6.2,0.1,0.41,0,-3.2188758249,2.8332133441,4.3307333403,0.98988,3.14,0.56,11.4,white
4.3,6.9,0.41,0.22,1.4350845253,-3.4737680745,2.302585093,4.6249728133,0.993,3,0.86,11.6,white
6.8,6.5,0.28,0.29,0.993251773,-3.2701691193,3.258096538,4.6728288345,0.9912,3.32,0.41,11.6,white
5.3,6.4,0.44,0.26,0.6931471806,-2.9187712324,2.9957322736,5.1929568509,0.9952,3.58,0.57,10,white
4.7,7,0.18,0.37,0.4054651081,-3.1465551633,2.7725887222,4.6443908991,0.99216,3.18,0.5,10.8,white
4.9,9.2,0.58,0.2,1.0986122887,-2.5133061243,2.7080502011,4.7449321284,0.998,3.23,0.59,9.5,red
4.5,5.2,0.405,0.15,0.3715635564,-3.2701691193,2.302585093,3.7841896339,0.99125,3.52,0.4,11.6,white
4.8,6.9,0.37,0.23,2.2512917986,-2.8647040111,3.9889840466,5.1119877884,0.99568,3.23,0.42,10,white
5.6,6.6,0.25,0.31,0.4054651081,-3.3524072175,3.4657359028,4.8441870865,0.9921,3.41,0.47,11.3,white
5.6,5.6,0.16,0.27,0.3364722366,-3.1235656451,3.9702919136,5.1239639794,0.9918,3.28,0.37,10.1,white
6.4,7.6,0.21,0.44,0.6418538862,-3.3242363405,2.302585093,4.7791234931,0.9913,3.01,0.7,12.8,white
3.3,10.3,0.17,0.47,0.3364722366,-3.2968373663,1.6094379124,3.4965075615,0.9939,2.89,0.28,9.6,white
4.5,9.5,0.59,0.44,0.8329091229,-2.6450754019,3.0445224377,4.2195077052,0.9992,3.46,0.63,9.5,red
7.3,7.4,0.2,0.43,2.0541237337,-3.1010927892,3.295836866,5.0304379214,0.9964,3.19,0.55,9,white
6.7,12,0.37,0.76,1.4350845253,-2.718100537,1.9459101491,3.6375861597,1.0004,3.22,0.6,13,red
6.2,5.9,0.22,0.38,0.2623642645,-3.0791138825,3.1780538303,4.4998096703,0.99232,3.2,0.47,10,white
5.3,6.1,0.34,0.21,1.6094379124,-3.1700856607,2.8332133441,4.8903491282,0.99373,3.02,0.53,9.4,white
5.2,8.7,0.675,0.1,0.4700036292,-2.4079456087,1.3862943611,2.3978952728,0.99745,3.31,0.65,9.55,red
4.7,5.2,0.17,0.27,-0.3566749439,-3.5065578973,2.3978952728,4.2195077052,0.99218,3.3,0.41,9.8,white
6.4,6.6,0.32,0.22,2.8154087194,-3.0791138825,3.6375861597,4.8903491282,0.9979,3.22,0.67,10.4,white
6.2,9,0.2,0.33,1.2527629685,-3.0159349809,2.302585093,3.6888794541,0.9944,3.14,0.36,9.8,white
5.7,8.3,0.16,0.37,2.0668627595,-3.6888794541,3.6375861597,4.6728288345,0.99306,2.93,0.37,11.9,white
5,7,0.35,0.31,0.5877866649,-2.6736487744,2.7080502011,5.0875963352,0.9944,3.18,0.47,9.4,white
5.4,6.8,0.36,0.32,0.4700036292,-3.2441936329,2.302585093,4.8202815656,0.9948,3.3,0.67,9.6,white
6.8,7,0.32,0.27,1.960094784,-3.611918413,3.6109179126,4.8040210447,0.99165,3.15,0.6,12.6,white
6.1,6.5,0.19,0.3,-0.2231435513,-3.1465551633,3.4965075615,4.9698132996,0.9936,3.42,0.39,9.1,white
5.3,7.2,0.39,0.62,2.3978952728,-3.0576076773,4.189654742,5.1817835503,0.9976,3.16,0.5,8.7,white
3.6,6.3,1.02,0,0.6931471806,-2.4889146712,2.8332133441,3.1780538303,0.99437,3.59,0.55,11.2,red
4.5,9.6,0.23,0.4,0.4054651081,-3.1235656451,2.9444389792,4.9052747784,0.9937,2.96,0.49,10.9,white
7.5,5.8,0.2,0.27,0.3364722366,-3.4737680745,2.4849066498,4.3438054219,0.9905,3.25,0.36,10.9,white
8.4,6.7,0.26,0.39,0.0953101798,-3.2188758249,3.8066624898,4.9904325868,0.9935,3.32,0.58,9.6,white
6.3,8.1,0.27,0.33,0.2623642645,-3.1010927892,3.258096538,4.605170186,0.99066,2.98,0.44,12.4,white
6.1,6.2,0.23,0.36,2.8449093838,-3.2441936329,3.6109179126,4.8675344505,0.99946,3.23,0.43,8.8,white
4.8,6.6,0.58,0.3,1.6292405397,-2.8647040111,3.4011973817,4.8121843554,0.9949,3.24,0.38,9,white
6.4,10.3,0.41,0.42,0.8754687374,-1.5464631133,1.7917594692,2.6390573296,0.9994,3.19,0.62,9.5,red
6.3,6,0.51,0,0.7419373447,-2.7488721956,3.6888794541,3.9889840466,0.995,3.54,0.93,10.7,red
5.3,8,0.25,0.49,0.1823215568,-2.7968814148,3.295836866,4.7621739348,0.9938,3.08,0.34,9.4,white
5.9,6.6,0.28,0.3,2.5572273114,-3.4112477175,3.4339872045,5.1761497326,0.99479,3.12,0.39,11.2,white
5.6,6.2,0.24,0.28,2.5014359517,-3.0159349809,3.9889840466,4.8903491282,0.9952,3.19,0.37,10.7,white
4.8,8.3,0.23,0.43,1.1631508098,-3.3524072175,2.6390573296,4.6151205168,0.9928,3.15,0.36,11.5,white
6.5,6.7,0.46,0.24,0.5306282511,-2.5639498571,2.8903717579,3.5263605246,0.9948,3.39,0.6,10.6,red
6.5,6.8,0.23,0.29,2.7343675094,-2.6172958378,4.0253516907,5.1532915945,0.9984,3.06,0.41,8.7,white
5.2,7,0.2,0.3,1.8082887712,-3.2968373663,3.4339872045,4.7874917428,0.9939,3.24,0.51,10.8,white
5.9,5.8,0.29,0.27,0.4700036292,-2.7806208939,2.8332133441,4.9416424226,0.99138,3.23,0.35,11.1,white
5.9,6.2,0.22,0.28,0.7884573604,-3.2188758249,3.1780538303,4.8283137373,0.9917,3.19,0.48,10.5,white
6.3,7.9,0.16,0.3,2.0014800002,-2.9957322736,4.0604430105,5.0238805208,0.99612,3.12,0.37,9.5,white
4.6,7.4,0.49,0.19,1.0986122887,-2.5639498571,2.7725887222,3.6109179126,0.9966,3.37,0.51,10.5,red
7.5,6.2,0.2,0.26,2.2721258855,-3.5065578973,3.6635616461,4.6249728133,0.9908,3.08,0.56,12.9,white
6.3,7.8,0.18,0.31,2.5014359517,-2.9374633654,3.8286413965,4.9416424226,0.998,3.06,0.53,8.9,white
4.5,9.9,0.35,0.55,0.7419373447,-2.7806208939,1.6094379124,2.6390573296,0.9971,3.26,0.79,10.6,red
5.4,6.3,0.27,0.46,2.4069451083,-2.9374633654,3.7841896339,5.1761497326,0.99691,3.18,0.67,9.4,white
5.7,6.3,0.19,0.28,0.5877866649,-3.8167128256,3.3322045102,5.062595033,0.9907,3.2,0.64,11.4,white
7.3,7.4,0.16,0.3,2.6173958328,-2.8824035882,3.4965075615,5.1239639794,0.99825,2.9,0.44,8.7,white
6,8.2,0.26,0.49,1.6486586256,-3.2188758249,2.9444389792,4.605170186,0.9941,3.12,0.34,10.1,white
5.7,7.7,0.3,0.34,0.1823215568,-3.0365542681,1.3862943611,4.7791234931,0.99084,3.18,0.34,12.1,white
5.5,5.8,0.68,0.02,0.5877866649,-2.4418471603,3.0445224377,4.5432947823,0.9944,3.54,0.52,10,red
3.7,7.1,0.53,0.24,-0.2231435513,-3.540459449,3.36729583,4.4543472963,0.993,3.16,0.32,9.1,white
6.4,6,0.25,0.28,2.0412203289,-2.9374633654,3.6109179126,4.8828019226,0.99489,3.06,0.5,9.4,white
6.5,7.7,0.24,0.3,0.3364722366,-3.1941832123,2.7080502011,4.6249728133,0.9929,3.26,0.53,10.4,white
5.7,6.4,0.25,0.3,1.7047480922,-3.2701691193,2.7080502011,4.8598124044,0.9948,3.14,0.49,9.6,white
6.7,5.9,0.37,0.3,0.4054651081,-3.4112477175,3.5553480615,4.5538768916,0.98986,3.36,0.56,12,white
6.7,6.7,0.12,0.3,1.6486586256,-3.0365542681,3.6375861597,4.7273878187,0.99352,3.33,0.44,10.1,white
5.7,6.2,0.24,0.27,2.8213788864,-3.2188758249,3.8712010109,4.8598124044,0.99691,3.23,0.38,10.5,white
6,6.8,0.23,0.33,0.6418538862,-3.0576076773,2.9957322736,4.6151205168,0.9914,3.1,0.46,11.1,white
6.7,5.7,0.18,0.36,0.1823215568,-3.0791138825,2.1972245773,4.262679877,0.99199,3.7,0.68,10.9,white
4.6,7.1,0.37,0.32,0.3364722366,-3.2968373663,3.295836866,4.836281907,0.9918,3.19,0.62,12,white
6.9,6.5,0.37,0.3,0.7884573604,-3.4112477175,3.6635616461,4.6728288345,0.98894,3.22,0.53,13.5,white
5.1,6.9,0.32,0.15,2.0918640617,-3.0791138825,3.9318256327,5.1929568509,0.9958,3.13,0.45,8.9,white
6,7.7,0.28,0.24,0.8754687374,-3.1235656451,3.36729583,5.0562458053,0.99312,3.27,0.56,10.6,white
4.6,9.1,0.52,0.33,0.2623642645,-2.6592600369,2.1972245773,3.4011973817,0.9978,3.24,0.6,9.3,red
6.5,5.8,0.2,0.24,0.3364722366,-3.4112477175,4.1743872699,5.1298987149,0.99043,3.59,0.56,12.3,white
6.4,7.8,0.5,0.12,0.5877866649,-1.7259717287,1.7917594692,3.0445224377,0.996,3.28,0.87,9.8,red
7,6.6,0.34,0.24,1.1939224685,-3.3813947544,3.36729583,4.5951198501,0.99031,3.1,0.4,12.3,white
5.1,8.1,0.33,0.44,0.4054651081,-3.1700856607,1.7917594692,2.4849066498,0.99542,3.35,0.61,10.7,red
6.3,7.8,0.16,0.41,0.5306282511,-3.649658741,3.36729583,4.9416424226,0.991,3.02,0.78,12.5,white
5.1,6.6,0.56,0.22,2.1860512767,-3.3813947544,3.295836866,4.8903491282,0.99675,3.2,0.51,9.1,white
5.9,6.5,0.18,0.26,0.3364722366,-3.1941832123,3.6888794541,4.9487598904,0.9941,3.34,0.72,9.5,white
5.2,6.4,0.5,0.16,2.5572273114,-3.1700856607,3.258096538,4.9272536852,0.9974,3.28,0.33,9,white
6.2,7.9,0.44,0.26,1.4929040962,-3.4112477175,3.1354942159,4.605170186,0.99117,3.17,0.52,12.7,white
5.5,6.3,0.27,0.37,2.0668627595,-3.0576076773,4.0604430105,5.3706380281,0.99542,3.19,0.48,9.5,white
3.6,6.5,0.29,0.25,0.9162907319,-1.9519282214,2.0794415417,4.7095302013,0.9927,3,0.44,9.9,white
6.4,5.6,0.46,0.24,1.5686159179,-3.1700856607,3.1780538303,4.276666119,0.9908,3.29,0.37,12.6,white
5.3,7.7,0.965,0.1,0.7419373447,-2.1892564077,2.3978952728,3.0910424534,0.9963,3.26,0.5,9.5,red
7.5,6.3,0.2,0.26,1.5475625087,-3.2188758249,4.6821312271,5.1239639794,0.99278,3.07,0.75,10.7,white
5.5,7.6,0.16,0.41,0.6418538862,-3.0576076773,3.295836866,5.0172798368,0.9937,3.2,0.53,10.1,white
5.6,10,0.49,0.2,2.3978952728,-2.6450754019,2.5649493575,3.9120230054,1.0015,3.16,0.69,9.2,red
5.6,10.2,0.645,0.36,0.5877866649,-2.9374633654,1.6094379124,2.6390573296,0.9982,3.17,0.42,10,red
5.8,6.7,0.42,0.27,2.1517622033,-2.6882475738,3.1780538303,4.9972122738,0.9948,3.16,0.57,11.3,red
5.3,5.8,0.415,0.13,0.3364722366,-3.2188758249,2.3978952728,4.1588830834,0.9922,3.29,0.52,10.5,white
5.9,6.6,0.41,0.27,2.3702437415,-2.2072749132,2.9957322736,4.6347289882,0.99672,3.08,0.41,9,white
5,6.6,0.34,0.34,0.955511445,-2.9759296463,3.7013019741,5.3471075307,0.99314,3.15,0.61,10,white
7.3,7.8,0.26,0.49,1.1631508098,-3.611918413,3.3322045102,4.4659081187,0.9919,3.03,0.32,11.3,white
7.1,8.3,0.28,0.48,0.7419373447,-2.3751557858,1.7917594692,2.4849066498,0.99408,3.26,0.62,12.4,red
4.6,6.7,0.34,0.3,2.7472709143,-2.9187712324,3.9318256327,5.2781146592,0.9982,3.19,0.49,9.3,white
5,5.8,0.31,0.31,2.0149030205,-2.9565115604,4.0073331852,5.4380793089,0.9949,3.19,0.46,9.8,white
6.2,6,0.28,0.24,2.8791984573,-3.0576076773,3.7376696183,4.7095302013,0.99896,3.1,0.45,8.9,white
7,7.2,0.21,0.28,0.993251773,-3.4112477175,3.6375861597,4.5432947823,0.99075,2.99,0.43,11.8,white
5.3,7,0.36,0.14,2.4510050981,-3.1465551633,3.5553480615,5.429345629,0.9977,3.13,0.51,8.9,white
6.1,6.5,0.21,0.4,1.9878743482,-3.1941832123,3.8918202981,4.7449321284,0.99268,3.21,0.43,11,white
8,6.8,0.53,0.35,1.3350010667,-3.3813947544,3.258096538,4.6913478822,0.9906,3.26,0.57,12.7,white
5.8,8.1,0.28,0.34,0.2623642645,-3.3524072175,2.3978952728,4.836281907,0.99232,3.14,0.5,9.8,white
5.7,5.1,0.35,0.26,1.9169226122,-3.3813947544,3.5835189385,4.7874917428,0.99188,3.38,0.4,11.5,white
5.8,5.6,0.15,0.31,1.6677068206,-3.2701691193,2.0794415417,4.3694478525,0.9923,3.3,0.39,10.5,white
